,y,x,highway
11397516320,10.7671807,106.6660311,
4611394688,10.7588488,106.6843011,
5890133158,10.7544417,106.6584136,
5890133159,10.7542123,106.6583619,traffic_signals
5890133160,10.7544164,106.6582438,
5890133164,10.7546069,106.658298,
6729387184,10.7954418,106.6824291,
6729387198,10.7949515,106.6830435,
6729387208,10.7935065,106.6848749,
6729387214,10.7938447,106.6844481,
6729387239,10.7929531,106.6855249,
6729387367,10.7935662,106.6790788,
6751145358,10.7709356,106.7001148,
6751145359,10.7709314,106.7011716,crossing
6751145366,10.7710564,106.7000624,crossing
6751145371,10.771084,106.7002317,
6751145377,10.770853,106.7004748,crossing
6751145380,10.7710261,106.7003851,
2233748930,10.7933788,106.6536865,
2233748925,10.7934814,106.653957,
2233748932,10.7935416,106.653829,
2233748938,10.7933267,106.6536371,
2233748940,10.7937637,106.6540355,
4976692688,10.7756321,106.679979,
9404173918,10.7703047,106.6939981,
9404173919,10.7703459,106.6940848,
9404173920,10.7703105,106.6939946,
9404173929,10.7954334,106.6757496,
9404173930,10.7955754,106.6755021,
9404173931,10.7956478,106.675591,
6772510390,10.7528882,106.6711902,crossing
6772510391,10.7528189,106.6711972,crossing
6772510392,10.7528743,106.6709945,crossing
6772510393,10.7528062,106.6709984,crossing
5063701284,10.7815756,106.6746059,
11771727980,10.7703975,106.6975818,
11771727994,10.7663744,106.6964259,
5500064101,10.7652216,106.6970128,
5500064104,10.7644702,106.6973608,
5500064102,10.7649369,106.6970851,
5500064103,10.7651097,106.6970182,
5057827203,10.7652069,106.6676092,
6791123349,10.7685352,106.6750015,
3771486714,10.7957377,106.6481301,
2358137371,10.7514971,106.6845456,
2358137373,10.7515358,106.6847974,
2358137375,10.7520196,106.6789174,
2358137374,10.7546941,106.6880272,
2358137377,10.7515017,106.6841313,
2358137380,10.7491806,106.6729806,
2358137381,10.7516035,106.6850802,
2358137376,10.7538063,106.687166,
2358137383,10.7509974,106.6764555,
2358137384,10.7514857,106.6843612,
2358137385,10.7519047,106.6857721,
2358137386,10.7497267,106.6758977,
2358137388,10.7522736,106.6806544,
2358137389,10.7528659,106.6864211,
2358137391,10.7517086,106.6853824,
2358137393,10.7490354,106.6737836,
2358137394,10.7518908,106.6773922,
2358137395,10.7519595,106.6776259,
2358137398,10.7522132,106.6802716,
2358137399,10.7522909,106.6810361,
2358137400,10.7490528,106.6746759,
2358137401,10.7522528,106.6813678,
2358137402,10.7508778,106.6764038,
2358137404,10.7522091,106.6816064,
2358137406,10.7500143,106.676093,
2358137407,10.7541631,106.687506,
2358137409,10.7492353,106.6727821,
2358137410,10.7514305,106.6767336,
2358137411,10.7492494,106.6752869,
2358137412,10.7521469,106.6860348,
2358137413,10.7520118,106.6778987,
2358137414,10.7516103,106.6769172,
2358137415,10.7494548,106.6756293,
2358137416,10.751791,106.6771774,traffic_signals
2358137418,10.7531214,106.6865297,
2358137420,10.7534572,106.6868288,
2358137422,10.7533123,106.6866736,
2358137423,10.7637171,106.6980784,
2358137424,10.7502441,106.6761965,
6782997081,10.7611229,106.6748318,crossing
2358137426,10.7515386,106.6839462,
2358137428,10.7491612,106.6750616,
6760714932,10.7590884,106.6874103,crossing
6760714933,10.7590484,106.6874572,crossing
6760714934,10.758987,106.6875291,crossing
6760714935,10.758938,106.6875865,crossing
6760714938,10.7584938,106.6869619,crossing
6760714939,10.7584329,106.6870376,crossing
6783652540,10.7497889,106.6704784,
6760714940,10.7583522,106.6869659,
6783652541,10.7498636,106.6699182,
6783652543,10.750055,106.6687356,
6783652544,10.7501943,106.6679575,
6760714944,10.7575483,106.6863572,crossing
6760714945,10.7579714,106.6866399,
6783652547,10.7499511,106.6692296,
6783652545,10.75042,106.667026,
11185050430,10.7922614,106.6545543,
6770152600,10.7663838,106.6787847,
6770152601,10.7663034,106.6787522,
3151254801,10.7578287,106.6674938,bus_stop
5057828137,10.7642807,106.6678225,
5772301815,10.7805243,106.655272,
6732666379,10.7550639,106.6615993,crossing
6732666380,10.7552559,106.6615598,traffic_signals
4612970105,10.7678862,106.6954098,
4612970107,10.7681446,106.6954323,
4612970108,10.7680066,106.6955206,
4612970106,10.7680247,106.6953227,
11774744267,10.7576366,106.6741208,
5057828568,10.7677248,106.6725306,
5057828573,10.7677409,106.6721763,
5057828580,10.7677321,106.6723696,
5057828597,10.7677944,106.6710104,
5057828601,10.7677813,106.6712941,
5057828604,10.7677886,106.6711368,
5057828618,10.7678231,106.6703879,
5057828620,10.7678288,106.6702653,
5057828641,10.7678608,106.6695178,
5057828708,10.7678936,106.6688022,
5057828764,10.7679112,106.6683696,
5057828776,10.7678854,106.667548,
5057828781,10.767787,106.6673579,
6754031612,10.7461376,106.6891763,
6747154745,10.7706559,106.7043273,crossing
6747154748,10.7709737,106.7044364,
3338019255,10.7522761,106.685638,
3338019256,10.7523342,106.6856947,
3338019258,10.7524652,106.6817311,
3338019259,10.7524347,106.6857674,
3338019260,10.7525485,106.6858364,
3338019261,10.7526272,106.6858783,
3338019262,10.7527919,106.6859547,
3338019264,10.7529336,106.6860077,
3338019265,10.7531115,106.6860829,
3338019266,10.7532169,106.6861359,
3338019267,10.753298,106.6861827,
3338019268,10.7533561,106.6862185,
3338019269,10.7534521,106.6862695,
3338019281,10.7538299,106.6871917,crossing
9880361669,10.7915809,106.6873758,
9880361671,10.7917922,106.687088,
9880361670,10.7915059,106.6873387,
6747216642,10.7709348,106.703244,crossing
6747216643,10.7708108,106.7032395,crossing
6747216644,10.7707072,106.7032354,crossing
6747216645,10.7710384,106.7032477,crossing
6747216646,10.7709151,106.7036722,crossing
6747216647,10.7707913,106.7036676,crossing
6747216648,10.7706862,106.703665,crossing
6747216649,10.7710105,106.7036752,crossing
11730180944,10.7834286,106.6711468,
11730180954,10.7832957,106.6713994,
2299419525,10.7843402,106.6542555,
6735813534,10.750397,106.66342,
4655963176,10.7703825,106.658114,
366368048,10.7557676,106.6651762,
4613947565,10.7554164,106.6634362,
11082685810,10.7677228,106.672574,
4613947568,10.755225,106.6624266,
4594359679,10.7554002,106.6859507,
1606180428,10.7781761,106.6559323,
5802993726,10.754606,106.6696124,
2358140553,10.7636887,106.6980581,
6724935335,10.7664332,106.6785977,crossing
6724935336,10.7662933,106.6787865,crossing
6724935337,10.7663632,106.6788167,traffic_signals
6724935334,10.7663622,106.6785612,traffic_signals
4632239802,10.7623033,106.6570612,
6791519963,10.7549196,106.6877459,
4620312299,10.7553469,106.6630603,
6751018764,10.7556877,106.6695688,crossing
6751018765,10.7556833,106.6696589,crossing
2358140873,10.7551968,106.6885079,
6639607755,10.7709888,106.6730929,
6639607766,10.7709067,106.673162,
6751150041,10.7679608,106.6693631,
366370846,10.7554839,106.6637733,
11998355566,10.765104,106.672598,traffic_signals
12060483868,10.7766153,106.6564677,
1987338525,10.7627009,106.6990625,
2358141240,10.7536235,106.6870039,
2044486215,10.7489693,106.6883065,
5762736900,10.7680809,106.6954882,
5762736901,10.7679661,106.695383,
366368374,10.7812241,106.675257,
5762736902,10.7703223,106.6939876,
1987339018,10.7692458,106.7057596,
11757445971,10.764505,106.6613192,
11757445972,10.7672378,106.6756972,
2230608746,10.7865731,106.6872584,
4603798461,10.7565206,106.6854513,crossing
4603798462,10.7567223,106.6856282,
1987339234,10.767991,106.7057239,
11235255354,10.7742052,106.6899177,
4488979653,10.7757595,106.70622,
4488979652,10.7758084,106.7064324,
4488979654,10.7755049,106.705979,
4488979657,10.7752543,106.705931,
4488979655,10.7751716,106.705945,
4488979658,10.7749244,106.7060884,
4488979656,10.7748658,106.7061619,
2358142171,10.7515494,106.6839078,
2358142172,10.7520231,106.6784026,
5740324102,10.7838092,106.7044974,
5740324105,10.7841087,106.7041749,
2044486934,10.746385,106.6891068,
2044487029,10.7487665,106.6883701,
5003306411,10.7678155,106.6724452,
2044487203,10.7485615,106.6884279,
1987339833,10.7685928,106.7056449,
6789162684,10.7682585,106.668252,
7428269757,10.7470477,106.6603516,
7428269758,10.7470305,106.6603323,
7428269759,10.7470147,106.6603028,
7428269760,10.7470042,106.6602719,
7428269761,10.7469923,106.6602317,
5800355518,10.7466935,106.6548017,
7428269762,10.7469884,106.660217,
7428269763,10.7469857,106.6601928,
7428269764,10.7469818,106.6601727,
7428269765,10.7469778,106.6601486,
7428269766,10.7469791,106.6601191,
7428269767,10.7469818,106.6600922,
7428269768,10.7469805,106.6600748,
7428269769,10.7469791,106.6600399,
7428269770,10.7469765,106.6600118,
7428269771,10.7469765,106.6599715,
7428269772,10.7469605,106.6599301,
5800355544,10.7484005,106.6581494,
7428269783,10.7470939,106.6603776,
6794274760,10.7554912,106.6886604,
10215647269,10.7482635,106.6691043,
4628048100,10.771688,106.657753,
4628048101,10.7721238,106.657638,
4628048104,10.7638652,106.6599239,
6794406134,10.7715734,106.6875451,
6794406136,10.7724112,106.6883229,
6794406138,10.772521,106.6884232,
3664144782,10.7432575,106.6688962,
3664144783,10.7432936,106.668839,
3338020105,10.7542184,106.6867781,
3338020108,10.7542742,106.6869907,
3338020109,10.7541974,106.6868577,
3338020129,10.7545455,106.6873603,
3338020134,10.7564965,106.6893422,
5816871670,10.7526126,106.6683418,
2527488815,10.7701665,106.6941984,
6789163885,10.7681958,106.6682284,
6789163889,10.7680416,106.6682008,
5093747606,10.7901398,106.6585506,
3338020168,10.7587332,106.6921944,
2233756575,10.7940428,106.6543956,
3338020171,10.7588519,106.6923653,
2233756579,10.7939265,106.654219,
4609829831,10.7565462,106.6852207,
3338020181,10.7602347,106.6946581,
3338020186,10.7604218,106.6949332,
3338020187,10.7606612,106.6952279,
3338020192,10.7611762,106.695707,
6732278855,10.7543818,106.6580572,traffic_signals
6732278858,10.7529203,106.658768,traffic_signals
4629359717,10.7682253,106.6679272,
4629359719,10.7681592,106.6677939,
4629359725,10.7646279,106.661554,
4629359730,10.7667954,106.6656006,
4629359733,10.7667623,106.6652854,
4629359734,10.7675039,106.666599,
6786674049,10.7708024,106.6729742,traffic_signals
